Z=0.020000,Y=0.270,000 OS=0,.20 l/Hp,1.7432,01 [Fe/,H]= 0.0,46320 [,Alpha/F,e]= 0.00,,
M/Msun,logT,logL/Ls,logg,Mv,U-B,B-V,V-R,V-I,#(x=-1),#(x=1.35),#(x=3)
age(Gyr)=,0.001  3,5 points,,,,,,,,,
0.4,3.5808,-0.2639,3.5791,6.667,1.485,1.455,0.882,1.774,1.00E+02,3.27E+02,6.64E+02
0.5,3.6,-0.2276,3.7165,6.317,1.366,1.352,0.811,1.569,2.00E+02,4.50E+02,7.09E+02
0.6,3.6134,-0.1015,3.7232,5.844,1.285,1.28,0.759,1.444,2.00E+02,2.92E+02,3.38E+02
0.7,3.6242,0.0062,3.7256,5.459,1.21,1.22,0.718,1.353,2.00E+02,2.03E+02,1.82E+02
0.8,3.6327,0.0951,3.7287,5.155,1.145,1.175,0.686,1.288,2.00E+02,1.48E+02,1.06E+02
0.9,3.641,0.175,3.7332,4.881,1.073,1.131,0.656,1.23,2.00E+02,1.12E+02,6.60E+01
1,3.6489,0.249,3.7365,4.631,1.001,1.091,0.628,1.178,2.00E+02,8.74E+01,4.32E+01
1.1,3.6567,0.3304,3.7277,4.369,0.931,1.052,0.6,1.128,2.00E+02,6.98E+01,2.95E+01
1.2,3.6635,0.3829,3.7402,4.192,0.871,1.022,0.579,1.089,2.00E+02,5.69E+01,2.08E+01
1.3,3.6695,0.4365,3.7454,4.019,0.817,0.995,0.56,1.056,2.00E+02,4.71E+01,1.51E+01
1.4,3.675,0.4855,3.7506,3.863,0.767,0.972,0.543,1.026,2.00E+02,3.96E+01,1.12E+01
1.5,3.6801,0.5306,3.7558,3.721,0.722,0.951,0.528,1,2.00E+02,3.37E+01,8.50E+00
1.6,3.6848,0.5725,3.7607,3.591,0.681,0.932,0.514,0.976,2.00E+02,2.89E+01,6.56E+00
1.7,3.6893,0.613,3.7646,3.467,0.643,0.913,0.502,0.954,2.00E+02,2.51E+01,5.15E+00
1.8,3.6936,0.6522,3.7674,3.348,0.608,0.895,0.49,0.933,2.00E+02,2.19E+01,4.09E+00
1.9,3.6976,0.6919,3.7672,3.23,0.576,0.878,0.479,0.914,2.00E+02,1.93E+01,3.30E+00
2,3.7017,0.7292,3.7686,3.119,0.544,0.861,0.468,0.895,2.00E+02,1.71E+01,2.68E+00
2.1,3.706,0.7654,3.7707,3.011,0.512,0.843,0.457,0.876,2.00E+02,1.53E+01,2.21E+00
2.2,3.7101,0.8038,3.7689,2.898,0.48,0.825,0.446,0.857,2.00E+02,1.37E+01,1.83E+00
2.3,3.7144,0.8442,3.7651,2.779,0.448,0.807,0.435,0.838,2.00E+02,1.23E+01,1.53E+00
2.4,3.7191,0.8873,3.7592,2.654,0.414,0.787,0.423,0.818,2.00E+02,1.11E+01,1.29E+00
2.5,3.7239,0.9346,3.7489,2.518,0.381,0.767,0.411,0.797,2.00E+02,1.01E+01,1.10E+00
2.6,3.7291,0.9893,3.732,2.363,0.346,0.744,0.398,0.775,2.00E+02,9.23E+00,9.39E-01
2.7,3.7346,1.053,3.7067,2.185,0.311,0.719,0.384,0.751,2.00E+02,8.45E+00,8.07E-01
2.8,3.7407,1.131,3.6689,1.971,0.276,0.691,0.369,0.725,2.00E+02,7.76E+00,6.98E-01
2.9,3.7471,1.2241,3.6166,1.718,0.241,0.661,0.353,0.698,2.00E+02,7.14E+00,6.07E-01
3,3.7327,1.1902,3.6076,1.838,0.32,0.722,0.384,0.752,3.00E+02,9.70E+00,7.69E-01
3.2,3.7541,1.4255,3.486,1.187,0.206,0.623,0.334,0.665,4.00E+02,1.13E+01,8.20E-01
3.4,3.7605,1.5697,3.3937,0.806,0.179,0.589,0.318,0.637,4.00E+02,9.84E+00,6.43E-01
3.6,3.7918,1.8176,3.2958,0.138,0.105,0.453,0.257,0.523,5.00E+02,1.06E+01,6.23E-01
3.9,3.9475,2.2736,3.4974,-0.889,0.093,0.008,0.019,0.062,5.00E+02,9.04E+00,4.77E-01
4.1,4.0987,2.5799,3.8176,-0.914,-0.396,-0.135,-0.045,-0.108,6.00E+02,9.24E+00,4.35E-01
4.5,4.1997,2.5494,4.2925,-0.126,-0.647,-0.177,-0.072,-0.178,9.00E+02,1.13E+01,4.64E-01
5,4.2275,2.7104,4.2885,-0.359,-0.709,-0.189,-0.077,-0.192,6.00E+02,6.25E+00,2.24E-01
5.1,4.2328,2.7414,4.2873,-0.406,-0.72,-0.192,-0.078,-0.195,1.00E+02,9.58E-01,3.23E-02
,,,,,,,,,,,
age(Gyr)=,0.002  3,5 points,,,,,,,,,
0.4,3.5744,-0.4827,3.7723,7.308,1.472,1.475,0.909,1.853,1.00E+02,3.27E+02,6.64E+02
0.5,3.5961,-0.4184,3.8917,6.847,1.36,1.366,0.83,1.616,2.00E+02,4.50E+02,7.09E+02
0.6,3.6124,-0.2843,3.902,6.321,1.279,1.283,0.771,1.465,2.00E+02,2.92E+02,3.38E+02
0.7,3.6233,-0.1779,3.9061,5.941,1.212,1.226,0.73,1.375,2.00E+02,2.03E+02,1.82E+02
0.8,3.6322,-0.0883,3.9101,5.633,1.15,1.181,0.698,1.308,2.00E+02,1.48E+02,1.06E+02
0.9,3.6401,-0.0098,3.9144,5.368,1.087,1.142,0.67,1.253,2.00E+02,1.12E+02,6.60E+01
1,3.6475,0.0613,3.9186,5.131,1.023,1.106,0.644,1.205,2.00E+02,8.74E+01,4.32E+01
1.1,3.6545,0.1365,3.9128,4.89,0.963,1.072,0.62,1.16,2.00E+02,6.98E+01,2.95E+01
1.2,3.6615,0.1944,3.9207,4.697,0.903,1.041,0.598,1.119,2.00E+02,5.69E+01,2.08E+01
1.3,3.6684,0.2525,3.925,4.507,0.842,1.011,0.576,1.08,2.00E+02,4.71E+01,1.51E+01
1.4,3.6751,0.3089,3.9276,4.325,0.782,0.983,0.555,1.043,2.00E+02,3.96E+01,1.12E+01
