ID,h:m:s,d:m:s,10-2arcsec/yr,10-2arcsec/yr,10-2arcsec/yr,10-2arcsec/yr,mag,mag,mag,%,h:m:s,d:m:s
1,02 37 22.86,+42 29 40.5,0.85,1.77,0.04,0.09,14.38,     ,     ,0,02 40 35.89,+42 42 30.9
2,02 37 22.94,+42 29 17.8,0.12,0.49,0.21,0.08,15.79,0.53,0.38,0,02 40 35.97,+42 42 08.2
3,02 37 23.68,+42 35 09.5,-0.39,0.2,0.26,0.22,15.62,     ,     ,1,02 40 36.84,+42 47 59.9
4,02 37 25.23,+42 28 41.7,4.16,1.12,0.02,0.02,13.79,     ,     ,0,02 40 38.25,+42 41 32.0
5,02 37 26.78,+42 34 20.0,0.12,0.61,0.19,0.12,14.94,     ,     ,0,02 40 39.93,+42 47 10.2
6,02 37 26.94,+42 26 39.1,0.43,0.14,0.02,0.02,13.16,     ,     ,0,02 40 39.92,+42 39 29.3
7,02 37 27.92,+42 31 57.7,0.66,0.75,0.26,0.2,15.76,     ,     ,0,02 40 41.02,+42 44 47.9
8,02 37 29.51,+42 36 36.3,-0.77,0.84,0.09,0.07,14.6,     ,     ,0,02 40 42.73,+42 49 26.4
9,02 37 30.25,+42 36 24.5,-0.63,-0.17,0.32,0.11,16.06,     ,     ,0,02 40 43.46,+42 49 14.6
10,02 37 30.70,+42 27 06.4,-0.25,0.12,0.05,0.04,13.87,0.57,0.49,0,02 40 43.70,+42 39 56.5
11,02 37 32.73,+42 27 14.9,-0.3,0.22,0.05,0.05,14.09,0.51,0.43,0,02 40 45.74,+42 40 04.9
12,02 37 32.99,+42 29 38.3,-0.27,0.05,0.23,0.35,15.61,0.66,0.62,13,02 40 46.06,+42 42 28.3
13,02 37 34.10,+42 38 37.3,2.5,-2.6,0.05,0.06,14.7,     ,     ,0,02 40 47.38,+42 51 27.2
14,02 37 34.76,+42 34 52.3,-0.05,0.81,0.2,0.18,15.16,1,0.93,0,02 40 47.95,+42 47 42.2
15,02 37 36.01,+42 34 58.6,0.56,0.58,0.13,0.24,15.81,0.85,0.75,0,02 40 49.21,+42 47 48.4
16,02 37 36.24,+42 38 21.5,-0.89,0.3,0.04,0.05,14.02,     ,     ,0,02 40 49.52,+42 51 11.3
17,02 37 36.30,+42 30 05.7,-0.07,-0.01,0.05,0.04,11.55,0.51,0.56,99,02 40 49.39,+42 42 55.5
18,02 37 36.42,+42 34 06.2,-0.1,-0.17,0.38,0.1,15.66,1.1,1.09,36,02 40 49.60,+42 46 56.0
19,02 37 38.08,+42 36 31.3,-0.3,0.45,0.19,0.12,15.52,     ,     ,0,02 40 51.32,+42 49 21.0
20,02 37 38.64,+42 29 16.9,-0.73,1.21,0.06,0.04,14.12,     ,     ,0,02 40 51.72,+42 42 06.6
21,02 37 38.97,+42 41 48.4,-0.28,0.51,0.03,0.03,12.79,     ,     ,0,02 40 52.34,+42 54 38.1
22,02 37 39.17,+42 28 49.1,-0.02,-0.02,0.03,0.02,12.35,     ,     ,99,02 40 52.24,+42 41 38.8
23,02 37 40.33,+42 26 28.7,-0.53,-0.16,0.25,0.24,15.56,     ,     ,0,02 40 53.35,+42 39 18.3
24,02 37 40.84,+42 32 29.2,-0.1,0.34,0.07,0.05,14.83,     ,     ,0,02 40 54.00,+42 45 18.8
25,02 37 42.87,+42 33 30.9,-0.44,0.38,0.19,0.16,14.97,     ,     ,0,02 40 56.06,+42 46 20.4
26,02 37 43.08,+42 42 19.4,-0.64,0.7,0.16,0.21,15.14,     ,     ,0,02 40 56.47,+42 55 08.9
27,02 37 43.73,+42 34 58.8,0.45,0.48,0.03,0.02,12.58,     ,     ,0,02 40 56.96,+42 47 48.2
28,02 37 44.17,+42 33 37.6,-0.04,0.5,0.05,0.03,14.1,     ,     ,0,02 40 57.37,+42 46 27.0
29,02 37 44.17,+42 27 33.2,0.55,1.02,0.08,0.05,14.98,     ,     ,0,02 40 57.23,+42 40 22.6
30,02 37 44.26,+42 33 46.2,-0.28,0.32,0.16,0.16,15.19,     ,     ,0,02 40 57.46,+42 46 35.6
31,02 37 44.69,+42 33 57.3,0.85,-0.39,0.02,0.02,12.5,     ,     ,0,02 40 57.90,+42 46 46.7
32,02 37 44.81,+42 34 11.6,-0.36,0.26,0.33,0.25,15.84,     ,     ,1,02 40 58.02,+42 47 01.0
33,02 37 44.94,+42 26 08.7,-0.14,0.29,0.04,0.03,14.34,     ,     ,0,02 40 57.97,+42 38 58.1
34,02 37 45.15,+42 30 03.0,0.42,-0.13,0.37,0.14,15.3,     ,     ,0,02 40 58.27,+42 42 52.4
35,02 37 45.89,+42 36 28.5,1.33,-1.52,0.04,0.03,11.38,     ,     ,0,02 40 59.16,+42 49 17.8
36,02 37 46.88,+42 24 49.3,-0.42,0.1,0.2,0.19,15.86,0.45,0.48,1,02 40 59.88,+42 37 38.6
