ID Number,X Position,Y Position,B,Sigma 1 B,Sigma 2 B,V,Sigma 1 V,Sigma 2 V,R,Sigma 1 R,Sigma 2 R,I,Sigma 1 I,Sigma 2 I,nB,nV,nR,nI,RA,Declination ,,,,,,
502175,895.72,1062.18,8.496,0.026,0,8.489,0.092,0,99.999,9.999,9.999,99.999,9.999,9.999,1,1,0,0,40.48659,42.78989,2,41,56.78,42,47,23.6
500600,1832.85,-458.36,8.801,0.027,0,8.856,0.025,0,99.999,9.999,9.999,8.855,0.027,0,1,1,0,1,40.88503,42.62161,2,43,32.41,42,37,17.8
501786,1065.7,656.9,8.855,0.018,0.036,8.88,0.025,0,99.999,9.999,9.999,8.85,0.025,0,2,1,0,1,40.59235,42.76025,2,42,22.16,42,45,36.9
502334,992.56,1199.17,8.969,0.024,0,9.001,0.029,0,99.999,9.999,9.999,8.995,0.032,0,1,1,0,1,40.45214,42.77074,2,41,48.51,42,46,14.7
501725,1079.39,574.54,9.344,0.027,0,9.322,0.025,0,99.999,9.999,9.999,9.261,0.018,0.008,1,1,0,2,40.61366,42.75815,2,42,27.28,42,45,29.4
502967,1460.91,1822.63,9.509,0.025,0,9.489,0.028,0,9.49,0.037,0,9.471,0.031,0,1,1,1,1,40.29589,42.67822,2,41,11.01,42,40,41.6
501940,678.1,831.15,10.928,0.022,0,9.699,0.024,0,99.999,9.999,9.999,99.999,9.999,9.999,1,1,0,0,40.54428,42.83243,2,42,10.63,42,49,56.8
502091,1117.58,988.51,9.875,0.014,0.004,9.722,0.018,0.014,9.639,0.017,0.015,9.571,0.015,0.026,3,2,3,3,40.50743,42.74843,2,42,1.78,42,44,54.4
502090,2183.13,988.1,9.923,0.018,0.006,9.851,0.018,0.001,9.838,0.024,0.017,9.76,0.019,0.008,2,2,2,2,40.51647,42.54712,2,42,3.95,42,32,49.6
501917,1130.14,807.73,10.027,0.017,0.006,9.95,0.017,0.027,9.891,0.019,0.007,9.829,0.018,0.004,2,2,2,2,40.55406,42.74717,2,42,12.97,42,44,49.8
