  nI           xbv    nB    nR           bxbv    nV    X Position    Declination        RA    unk23    unk22    unk21    unk26    unk25    unk24       B       I    Sigma 1 R       binbvdev    Sigma 1 V    Sigma 1 I         bvdev      bv       R       V    Sigma 1 B       ID    Sigma 2 B              Q    Sigma 2 I    Sigma 2 R         mv    Sigma 2 V    Y Position
----  ------------  ----  ----  -------------  ----  ------------  --------------  -------  -------  -------  -------  -------  -------  -------  ------  ------  -----------  -------------  -----------  -----------  ------------  ------  ------  ------  -----------  -------  -----------  -------------  -----------  -----------  ---------  -----------  ------------
   0  -0.39972         1     0   -0.0610836       1        895.72         42.7899  40.4866    56.78       41        2     23.6       47       42   8.496  99.999        9.999    0.0680836          0.092        9.999   0.40672       0.007  99.999   8.489        0.026   502175        0        1.69587            9.999        9.999   0.128511        0           1062.18
   1  -0.146748        1     0   -0.0154529       1       1832.85         42.6216  40.885     32.41       43        2     17.8       37       42   8.801   8.855        9.999   -0.0395471          0.025        0.027   0.091748     -0.055  99.999   8.856        0.027   500600        0        0.563976           0            9.999   0.495511        0           -458.36
   1  -0.138193        2     0   -0.0122767       1       1065.7          42.7602  40.5924    22.16       42        2     36.9       45       42   8.855   8.85         9.999   -0.0127233          0.025        0.025   0.113193     -0.025  99.999   8.88         0.018   501786        0.036    0.870155           0            9.999   0.519511        0            656.9
   1  -0.103573        1     0    0.00476594      1        992.56         42.7707  40.4521    48.51       41        2     14.7       46       42   8.969   8.995        9.999   -0.0367659          0.029        0.032   0.0715731    -0.032  99.999   9.001        0.024   502334        0        0.635472           0            9.999   0.640511        0           1199.17
   2  -0.0507451       1     0    0.0590945       1       1079.39         42.7582  40.6137    27.28       42        2     29.4       45       42   9.344   9.261        9.999   -0.0370945          0.025        0.018   0.0727451     0.022  99.999   9.322        0.027   501725        0        0.71789            0.008        9.999   0.961511        0            574.54
   1  -0.0305495       1     1    0.0918603       1       1460.91         42.6782  40.2959    11.01       41        2     41.6       40       42   9.509   9.471        0.037   -0.0718603          0.028        0.031   0.0505495     0.02    9.49    9.489        0.025   502967        0        0.479503           0            0       1.12851         0           1822.63
   0  -0.00320483      1     0    0.135608        1        678.1          42.8324  40.5443    10.63       42        2     56.8       49       42  10.928  99.999        9.999    1.09339            0.024        9.999   1.2322        1.229  99.999   9.699        0.022   501940        0        9.13756            9.999        9.999   1.33851         0            831.15
   3   8.12716e-05     3     3    0.14049         2       1117.58         42.7484  40.5074     1.78       42        2     54.4       44       42   9.875   9.571        0.017    0.0125102          0.018        0.015   0.152919      0.153   9.639   9.722        0.014   502091        0.004    1.07668            0.026        0.015   1.36151         0.014        988.51
   2   0.0197914       2     2    0.167942        2       2183.13         42.5471  40.5165     3.95       42        2     49.6       32       42   9.923   9.76         0.024   -0.0959415          0.018        0.019   0.0522086     0.072   9.838   9.851        0.018   502090        0.006    0.390601           0.008        0.017   1.49051         0.001        988.1
